topic,answer_type,problem,expected_answer
Sports,Date,On what year was the JK Tyre Rotax Max Karting Championship launched in India?,2005
Sports,Date,Which two months did Pep Guardiola win the Manager of the Month award in the 2021-22 Premier League season?,November and December 2021
Politics,Date,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?","July 9, 2016"
History,Person,"What is the first name of Squire Boone, Sr., and Sarah Morgan Boone's youngest daughter, born in 1746?",Hannah
Music,Person,Who served as the music director of the London Sinfonietta from 1994 to 1998?,Markus Stenz
Politics,Number,How many votes did the Slovene Unified List get for the Chamber of Deputies in the 1963 Italian General Election?,"5,679"
TV shows,Place,"In which city did the main characters of ""The Parkers"" live?",Santa Monica
Other,Other,Which college in Srinagar was accredited as the College for Potential Excellence by the University Grants Commission (India) in April 2010?,Islamia College of Science and Commerce
Politics,Date,"From which date, month, and year to which date, month, and year did the Indian lawyer L. N. Sinha serve as Attorney General of India?","August 9, 1979 - August 8, 1983"
Geography,Date,"What year was the municipality of Jenesano, Boyacá, Colombia, founded?",1828
Music,Other,"How long, in minutes and seconds, is Beyoncé's album ""Dangerously in Love""?",60:52:00
History,Date,"What day, month, and year did William II of Holland become King of Germany?",3 October 1247
Politics,Person,"What are the first name, middle name, and surname of the American politician who served in the California State Assembly from 1967 to 1976 and who died on February 6, 2007?",Leon Douglas Ralph
TV shows,Date,"What were the day, month, and year when Hum TV shut down its SD feed and shifted to HD in Pakistan?","May 1, 2018"
TV shows,Other,"Which DropoutTV series is a spin-off of ""Game Changer"" inspired by its ""Noise Boys"" episodes?",Make Some Noise
Science and technology,Number,"The Partial Solar Eclipse of January 1, 1805 was a part of which Saros series?",Saros 109
Politics,Date,"In which month and year did Jose Maria Canlas Sison marry his wife, Julie de Lima, in a Catholic church?",Jan-60
Other,Person,Who received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student?,Lenhard Ng
,,"Who described Indira Gandhi as the ""Iron Lady""?",Henry Kissinger 
Science and technology,Person,Who was awarded the Darwin Medal in 1952?,J.B.S. Haldane
Sports,Date,"On what day, month, and year was Javier Zanetti's first daughter born?",11-Jun-05
Politics,Date,"On what day, month, and year was Shah Faesal (an Indian bureaucrat) appointed as the Assistant Commissioner, Revenue, of Pulwama district, Kashmir?","August 16, 2012 "
Other,Other,For what career did Eddie Marsan leave school at 16?, apprentice printer
Science and technology,Person,Who wrote the paper 'Multidimensional Scaling and Other Techniques for Uncovering Universals'?,"William Croft, Keith Poole"
TV shows,Person,"Who was the guest star who played Carter on S5 E9 of ""The Dukes of Hazzard""?",Brett Halsey
Politics,Date,"In what year was Antonio Giolitti awarded the Cavaliere di Gran Croce, the highest honor bestowed by the President of the Italian Republic?",2006
Politics,Number,"What was Jeffrey Epstein's released bond in dollars on July 27, 2006, at the Palm Beach County jail?","$3,000 bond"
Sports,Person,"In Game 2 of the '04 ALCS, who singled to lead off the 8th inning?",Trot Nixon
Politics,Date,"On what day, month, and year did the Rapid Action Battalion oversee the exhumation of the corpses of Sagar Sarowar and Meherun Runi for the purpose of a viscera test?","April 26, 2012"
Geography,Date,"The Persina Nature Park in Bulgaria was originally established on what day, month, and year?","December 4, 2000."
Art,Date,In what year was Pipilotti Rist first awarded the 'St. Galler Kulturpreis der St. Gallischen Kulturstiftung'?,2007
Geography,Date,"On what day, month, and year did Mira Sintra-Meleças railway station open for revenue service?",29-Nov-04
Other,Number,How old was Lillian Marie Bounds when her father passed away?,17 years old. 
Science and technology,Person,Who was the recipient of the ISCB Accomplishment by a Senior Scientist Award in 2019?,Bonnie Berger
Other,Person,What is the surname of the individual who won the Marlow Award in 1983?,Oxtoby
Geography,Date,"What day, month, and year was the municipality of Tipacoque, Boyacá, Colombia, created?","November 28th, 1968"
Sports,Date,In which year of the Olympics did Grand Seiko become the Official Timer?,1964
Geography,Place,What is the second-largest island in the world that is part of Indonesia?,New Guinea
Science and technology,Person,What is the surname of the individual who won the Polanyi Medal for outstanding contributions to the field of gas kinetics in 1982?,Thrush
Sports,Number,How many gold medals in fencing did Hungary win during the 1964 Summer Olympics?,4
Other,Place,At what university was Lois Griffiths appointed as an instructor in mathematics immediately following the award of her doctorate?,Northwestern.
Geography,Date,"What year was the municipality of Santa Rosa de Osos, Antioquia, Colombia, founded?",1636
Science and technology,Number,"How many spin-offs of the journal ""Circulation"" did the American Heart Association launch in 2008?",6
Sports,Person,"In Game 7 of the '04 ALCS, who did Pedro Martinez give up a leadoff double to?",Hideki Matsui
Geography,Date,"What year was the municipality of Chiscas, Boyacá, Colombia, founded?",1777
Science and technology,Place,Which country is the species Acanthops bidens native to?,Mexico
Science and technology,Date,What were the month and year when Telegram reached 180 million monthly active users?,Dec-17
Art,Person,What is the first and last name of the first American transgender person featured in the National Portrait Gallery?,Sylvia Rivera
Politics,Date,In which month and year was Satyanarayan Gangaram Pitroda (an Indian telecommunication engineer and entrepreneur) appointed as advisor to Indian Prime Minister Manmohan Singh on Public Information Infrastructure and Innovations with the rank of Cabinet Minister?, October 2009
Music,Person,"Who wrote the lyrics for the official anthem of the state of Hesse, Germany?",Carl Preser
Music,Other,What does the band name Shai mean in Swahili?,Personification of destiny
Geography,Place,Which city is known as the Rice Bowl of Kashmir?,Pulwama
Politics,Person,Which president had a meeting with Kwame Nkrumah right before the Kulungugu bomb attack?,Maurice Yameogo
Science and technology,Person,What is the surname of the individual who won the Victor A. Prather Award in 1968?,Forbes
Art,Person,"What was the muse's name for the sketch ""Serena in the Boat of Apathy,"" purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund in 1996?",Emma Hamilton
Politics,Person,"On March 22, 2011, who was the Pakistani leader of Jama'at-ud-Da'wah who issued a $2.2 million fatwā for anyone who killed Pastor Terry Jones?",Amir Hamza
Politics,Date,"What years did Ana Figueroa represent Chile as ""Minister Plenipotentiary"" at the United Nations?",1950-52
,,What was the first name of the Irish-born computer programmer Kathleen Rita McNulty Mauchly Antonelli's father?,James
Art,Date,"On which day, month, and year was Sunil Das (an Indian expressionist painter) born?",04-Aug-39
Music,Other,Which radio station did Belva Davis work at as a disc jockey in 1964?,KDIA.
Art,Date,"Cildo Meireles began working on ""Virtual Spaces"" during what year?",1968
History,Date,"On what day, month, and year was Henry Ernest Gascoyne Bulwer born?",11 December 1836
Other,Date,In what year did Carlotta Gall start her career?,1994
Politics,Number,"How many sons and daughters did former State President of South Africa, P.W. Botha, have with his wife Anna Elizabeth Rossouw?",two sons and three daughters.
Politics,Date,"On what day, month, and year was Dr. Sanduk Ruit conferred with the National Order of Merit of Bhutan in Gold?","December 17, 2015"
Geography,Place,What were the names of the two streets at the intersection where the Sydenham Hospital in New York was originally located?,124th Street and Manhattan Avenue
History,Person,"What was the first and last name of Margaret Bourchier, Countess of Bath's first child from her second marriage?",Jane Long
Other,Person,"What were the first and last names of Welsh journalist Wyre Davies' maternal grandfather, who captained *Harmanteh*?",Evan Rowlands
Science and technology,Person,Who won the Kalinga Prize for the Popularization of Science in 1969?,Konrad Lorenz
Art,Other,What is the title of the painting Sir William Beechey (British portraitist) painted for the 1798 exhibition of the Royal Academy?,George III and the Prince of Wales Reviewing Troops
Science and technology,Person,Who won the Margaret Oakley Dayhoff Award in 2003?,Hao Wu
Politics,Date,In what year was the District of Columbia Baptist Convention excommunicated due to its support of LGBTQ inclusion?,2018
Politics,Person,"Name the Prime Minister who laid the foundation stone of the Government Medical College located in Srinagar, Kashmir, on 13 June 1957?",Jawaharlal Nehru
Music,Date,In what year was John Lennon's psychedelic Rolls-Royce shown at the Pacific National Exhibition?,2014
Geography,Number,How many colors does the Zambian flag have?,"Four - Green, Red, Black, Orange."
Politics,Date,"In what year did Francesco ""Franco"" Giordano become a member of the Italian Communist Party?",1974
TV shows,Number,In which episode of the anime Death Note is Mikami first introduced? Give me the number and title.,"Episode 31, ""Transfer"""
TV shows,Other,"Other than being a choreographer for the TV series In Living Color, what other job did Rosie Perez do on the show?",segment producer
Science and technology,Date,"In which year were the two novel RNA viruses, distantly related to pestiviruses and coltiviruses, detected in the genomes of dead Manis javanica and Manis pentadactyla?",2020
TV shows,Person,"Who was the 3rd CEO of Lumon Industries in the show ""Severance""?",Myrtle Eagan
Other,Place,In which town in New Zealand was actress Amanda Billing born and raised?,Masterton
Science and technology,Person,What is the surname of the individual who won the Beilby Medal and Prize in 2009?,Bao
Geography,Date,"In which year was the municipality of Vegachí, Antioquia, Colombia, founded?",1950
TV shows,Other,In which season and episode of Archer is Cheryl revealed to be a millionaire?,"Season 2, Episode 10"
Video games,Number,"What is the weight of the Phosphorescent Pole weapon in Demon's Souls (2009) using the in-game units of weight, which are called ""units""?",4.0 units
Other,Number,"What number step is ""ubusuna jinja ni kiyu hokokuh"" in the Shinto funeral process?",7
Video games,Other,What is Vergil's battle quote about bedtime when he stabs the player playing as Nero in Devil May Cry 5?,It's past your bedtime
Other,Person,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",moistcr1tikal
Music,Date,What year did the Evolution Festival introduce an entry charge?,2008
Geography,Other,What is a bridge called in Kashmiri?,Kadal
Geography,Number,"As of the 2020 census, what was the population of the city of Fort Oglethorpe, which is in the U.S. state of Georgia?","10,423"
TV shows,Place,"In Season 15, Episode 1 of Law & Order: Special Victims Unit, on what New York island did William Lewis hide Olivia?",Long Island
Science and technology,Person,Which female chemist was awarded the Garvan–Olin Medal in 1952?,Gladys A. Emerson
Art,Date,"In what year, under the leadership of Superintendent Jim Northup, did Shenandoah National Park establish an Artist-in-Residence Program that is administered by the Shenandoah National Park Trust, the park's philanthropic partner?",2014
Science and technology,Date,In what year was the minor planet 3586 Vasnetsov discovered?,1978
Geography,Number,"In the 2020 census, what was the population of Seneca Township in Lenawee County?","1,155"
,,During what year did Tatsuo Miyajima have his first solo exhibition?,1983
Politics,Date,"In what year did John William Robert Kerr, 7th Marquess of Lothian, enter the House of Commons as a representative for Huntingdon?",1820
Geography,Number,"What is the depth of Wular Lake in meters, located in Jammu & Kashmir?",14
Sports,Number,"What was the economy rate of S. N. Thakur per over in the match between CSK and DC in IPL 2019 that happened on May 10, 2019?","13.00	"
Science and technology,Person,What is the name of the individual who was awarded the Paul Karrer Gold Medal in 2004?,Ada Yonath
Art,Date,During which year did Yayoi Kusama have her first exhibition in Spain?,2011
Geography,Other,Which religion is the third largest among Singaporean residents based on the 2020 census?,Islam
Art,Place,In which Swiss municipality was the painter Jean Preudhomme baptized in 1732?,Rolle
Art,Date,During what year did Isa Genzken divorce Gerhard Richter?,In 1993. 
Politics,Number,"How many UN Volunteers served in 54 United Nations missions, agencies, funds, and programs across the globe in 2019?","8,282"
Politics,Person,From which president did Yo-Yo Ma receive the Presidential Medal of Freedom?,President Obama 
TV shows,Person,"In Season 1 of The Bachelor, which contestant was a waitress at Hooters?",Angela Lowery
Other,Date,"In which year was a replacement pink donut with sprinkles sculpture unveiled in Springfield, New Zealand following arson?",2012
Other,Person,"Who was the chief guest of the eighteenth convocation of Indira Gandhi National Open University, New Delhi, held in 2007?",Justice K. G. Balakrishnan
Other,Date,"In which month and year did American mathematics professor and blackjack researcher Edward Oakley Thorp first get married to his wife, Vivian?",Jan-56
Art,Place,"The first public showings of ""Another Day in America"" by Laurie Anderson were in which city?",Calgary
Music,Number,"Babymetal's song ""Road of Resistance"" charted at what number on the Billboard World Digital Songs chart for the week of February 21, 2015?",22
TV shows,Other,"What character did Julie Depardieu play in the TV movie ""La Passion du Docteur Bergh""?",Valerie Letechin
Sports,Other,Who won the first National Kho Kho Championship in England in 2015?,The Finchley Shakha Kho Kho Team
Other,Person,Who won the Florence Nightingale David Award in 2015?,Francesca Dominici
Other,Other,"What is the name of the type of cancer that Fatima Sydow, a renowned Cape Malay culinary artist, was battling before she passed away?",Soft tissue sarcoma.
Science and technology,Other,What advanced reservoir simulation technology did Aramco unveil in 2010?, GigaPOWERS
Science and technology,Date,In which year was the Kangri cancer effect first studied?,1866
Politics,Date,"On which day, month, and year did Anugrah Narayan Sinha become the Deputy Premier cum Finance Minister of Bihar province?","July 20th, 1937"
Art,Place,In what city did Richard Serra meet composer Philip Glass?,Paris. 
Music,Other,What were Terry Kath's famously ironic last words?,What do you think I'm gonna do? Blow my brains out?
Music,Other,Who was the Friday night headliner of ArcTanGent 2013 on the Arc stage?,65daysofstatic
Science and technology,Date,"On which day, month, and year was the domain ""indianexpress.com"" registered?",20th of May 2002
Other,Place,From what university did Bill Brown (professor at the University of Chicago and critical theorist) receive his B.A.?,Duke University 
Geography,Date,"What year was the municipality of El Cocuy, Boyacá, Colombia, founded?",1541
Art,Date,In which year was Greta Garbo awarded the Litteris et Artibus royal medal?,1937
Other,Date,"What month, day, and year did Brenda Gayle Hayes, wife of W. V. Grant, die?","October 6, 2020"
,,What year did Cornelia Parker have her first solo museum exhibition?,2000
Geography,Place,The first clock installed outside of the family farm of Alberto Olvera Hernández was for the Santiago Apostol Church in which small town in Mexico?,Chignahuapan
Other,Person,What's the secret identity of the third Phantom Lady?,Stormy Knight
Politics,Other,What ministerial title did Ana Figueroa hold while representing Chile at the United Nations from 1950 to 1952?,Minister plenipotentiary
Music,Date,"What were the date, month, and year that Jody Williams, the fourth season winner of South African Idols, was born?","May 17, 1990."
Other,Date,"On what day, month, and year did Camarillo Plaza in California unveil a 13-foot (4.0 m) in diameter floral clock for the first time?",19-May-16
Science and technology,Other,"What neologism, which gained widespread use in the 21st century, identifies the date on which the day and night are exactly the same?",equilux
Science and technology,Person,What is the surname of the individual who won the Linus Pauling Award in 1969?,Eyring
Geography,Date,"In which day, month, and year was the municipality of La Victoria, Boyacá, Colombia, founded?","December 21, 1956"
Geography,Date,"What year was the municipality of Jardín, Antioquia, Colombia, founded?",1863
Geography,Date,"What year was the municipality of Santo Domingo, Antioquia, Colombia, founded?",1778
Sports,Person,Who started Game 5 of the '04 ALCS for the Red Sox?,Pedro Martinez
Sports,Date,"What was the day, month, and year when Adrian Robert James Pettigrew, an English former professional footballer, was born?",12-Nov-86
Science and technology,Date,In which year did Maryam Mirzakhani (an Iranian mathematician) become a professor at Stanford University?,2009
Music,Date,"What day, month, and year was Kelly Clarkson's album ""Piece by Piece"" released on CD in Brazil?","March 10, 2015"
Sports,Other,Which football club won the inaugural Hessenpokal?,Eintracht Frankfurt
Science and technology,Number,How many total lunar eclipses occurred on Earth in the year 1967?,2
Science and technology,Date,"What were the month and year when the WhatsApp file upload limit was raised from 100 MB to 2 GB, and the maximum group size increased to 512 members?",May-22
Art,Place,"For which garden was the ""Neptune and Triton"" sculpture carved?",Garden of the Villa Montalto
,,What year did Kathryn Shaw step down as the Artistic Director of Studio 58?,2020
Art,Other,"Which Salvador Dalí painting was described as ""a vast human body breaking out into monstrous excrescences of arms and legs tearing at one another in a delirium of auto-strangulation""?",Soft Construction with Boiled Beans
Politics,Other,What was Pankaj Mithal's position just before being appointed as a judge of the Supreme Court of India?,Chief Justice Rajasthan High Court
Art,Date,In which year was Jamini Roy (an Indian painter) awarded the Padma Bhushan by the Government of India?,1954
Music,Date,"On what day, month, and year did Taiwanese conductor and violinist Felix Chen die?","April 9, 2018"
Science and technology,Date,In what year was the beetle species Conalia helva described?,1862
Video games,Other,What Terraria patch added biome-specific stalactites to the underground areas?,1.2.3
Science and technology,Place,From which university did computer scientist Jeanne Clare Adams receive her B.S. degree in Economics in 1943?,The University of Michigan.
Politics,Person,"The song ""The Hawk of Lebanon"" is about which Hezbollah leader?",Hassan Nasrallah
TV shows,Other,What did Daemon say to Vaemond before killing him in HOTD Season 1?,"""Say it."""
Music,Other,"What was the name of the piece Dr. Lucy Jones composed and made a music video for in 2019, which she described as her musical interpretation of global temperature data from 1880 to 2017?",In Nomine Terra Calens: In the name of a warming earth
Geography,Other,"As of 2022, what is the name of the most spoken language in the Tharparkar region of Sindh, Pakistan?",Dhatki
Art,Place,"What city was Richard Serra in when he created his work ""To Lift""?",New York
Other,Place,In what city was the first International Stroke Conference held?,Dallas
Music,Number,How many singles did Chip Fields-Hurd record for Buddah Records?,Two.
Geography,Number,What is the maximum depth of the Mediterranean Sea in meters?,5109 m
Science and technology,Other,What is the name of the project that won the 2008 ACM Software System Award?,Gamma Parallel Database System
Music,Person,"What was saxophonist ""Buster"" Smith's full birth name?",Henry Franklin Smith
Science and technology,Date,"What was the date, month, and year when ""Selective Availability"" was discontinued as a result of the 1996 executive order, allowing civilian users to receive a non-degraded signal globally?",02-May-00
Politics,Date,"What were the month, day, and year Whig politician James Vernon the Younger was born?","June 15, 1677"
TV shows,Date,In what episode and season of Scandal did Olivia find out that her mother is a terrorist?,Season 3 Episode 9
History,Person,"What is the name of the man who purchased Belmont on St. Saviour's Hill, Jersey, UK, in 1822?",Sir Colin Halkett
Science and technology,Other,What is the chemical name of the drug previously known to treat bacterial infections that Dr. William Schwartz discovered also acts as a diuretic in people with congestive heart failure?,Sulfanilamide.
Music,Other,"What is the name of the 11th song on ""The Last Unicorn"" soundtrack album?",The Tree
Politics,Date,On which month and year did Sahara Khatun attract criticism for her discriminatory comments asking Hindus to cut their Janmashtami celebrations short so that it did not clash with Ramadan?,Aug-10
Other,Other,What was Stephen Resnick's cause of death?,Leukemia
Art,Person,What is the name and surname of the photographer who first invented a tool to coat calotype paper called the Buckle Brush?,Samuel Buckle
Science and technology,Date,In what year was Niels Erik Norlund awarded a Gold Medal for an essay on continued fractions?,1907
Music,Other,What album did Kinoko Teikoku release in 2014?,Fake World Wonderland
History,Date,"On what day, month, and year was Murray Nicoll, the Australian journalist who reported from his own burning home during the 1983 Ash Wednesday bushfires in Australia, born?",20 July 1943.
Science and technology,Date,Which year was the actinide concept proposed?,1944
Science and technology,Other,Which genus was the ruby-throated bulbul moved to from *Turdus* before finally being classified in the genus *Rubigula*?,Genus Pycnonotus
History,Number,"What was Bindy Johal's age in years when he immigrated to Vancouver, British Columbia, with his parents during his childhood?",4 years.
TV shows,Date,"What month, date, and year was Sicily Sewell released from the TV show ""One on One""?",20-Jun-05
Science and technology,Date,In what year did Otton Nikodym show how to produce a subset 𝑁 of the unit square with area(𝑁) = 1 such that for each point 𝑥 ∈ 𝑁 there is a line intersecting 𝑁 in the single point 𝑥?,1927
Science and technology,Person,Who was the recipient of the Leslie Fox Prize for Numerical Analysis in 2017?,Nicole Spillane
Geography,Date,"What month, day, and year was the Köln Frankfurter Straße station opened?",13-Jun-04
Geography,Place,The Alpine musk deer is the state animal of which Indian state?,Uttarakhand
Music,Date,"What year did Kinoko Teikoku release their first single ""Taikutsu Shinogi"" (退屈しのぎ)?",2012
Art,Other,What was the name of New York's National Academy of Design in 1825?,The New York Drawing Association
Other,Date,What year was LEGO part ID 852 first used?,1971
Science and technology,Person,Which scientist received the William Henry Twenhofel Medal in 1978?,Carl Owen Dunbar
Sports,Number,How many goals did Diogo Jota score for Liverpool in the 2021-2022 EFL Cup?,3
Geography,Date,"In which month of 2005 was the Lal Bahadur Shastri Dam, also known as the Almatti Dam, located on the Krishna River in North Karnataka, India, completed?",July
Other,Other,"What's the notion to which the lexical semantic map in Figure 4 of the paper ""New Avenues and Challenges in Semantic Map Research"" is dedicated?",breathe
Music,Person,"What were the names of the three announcers of the radio show ""The American Album of Familiar Music""?"," André Baruch, Howard Claney, and Roger Krupp."
Geography,Date,"What year was the municipality of Alejandría, Antioquia, Colombia, founded?",1886
Video games,Person,"For the original Groove Coaster game for iOS, all the original songs were by Hirokazu Koshio (COSIO) and whom?",Shohei Tsuchiya
Politics,Date,"What was the date, month, and year when France proposed that the UN Security Council call for ""a rapid and massive withdrawal"" from Kuwait along with a statement to Iraq that Council members would bring their ""active contribution"" to a settlement of the region's other problems?","January 14, 1991"
Geography,Date,"What day, month, and year was the municipality of San Juan de Urabá, Antioquia, Colombia, founded?",24 June 1896
Geography,Other,"What river borders the west of Goldsboro, NC?",The Little River
Other,Number,At what age did Welsh scholar Merryl Wyn Davies convert to Islam?,31
Science and technology,Person,Which scientists received the American Chemical Society Award in Pure Chemistry in 1937?, E. Bright Wilson
Sports,Place,"Where is Leonard Perry Jr., the college basketball coach, originally from?","Dallas, Texas"
Science and technology,Number,"The K-class blimp (1938), the K-14, had a total diameter of what in meters?",17.63 m
Science and technology,Date,What year was Mary Engle Pennington inducted into the National Inventors Hall of Fame?,2018
Sports,Other,What soccer team was the first to be sponsored by the brand New Balance in England?,Liverpool F.C.
Other,Person,What was the name of the common-law husband of the Indian-Canadian serial killer Simmi Kahlon?,Harnek Mahal
History,Person,"On 30 November 1657, who proclaimed himself emperor at Ahmedabad?",Mirza Muhammad Murad Bakhsh
Science and technology,Other,What camera has the world's first dual-driven shutter system?,Sony Alpha 1
Sports,Other,Which of the three Olympic fencing weapons was the last one to transition to using electrical equipment?,Sabre
Politics,Date,In which year was Whig politician James Vernon the Younger appointed Serjeant of the Chandlery?,1691
Music,Person,What role did Hugh Ledigo play for The Jazzmen at the time of Kenny Ball's death (March 2013)?,Piano
Other,Number,How many days was Kaitlin Armstrong on the run from authorities for killing Moriah Wilson?,43
Science and technology,Date,In which month and year did KTH's R1 reactor achieve criticality?,Jul-54
TV shows,Person,Who is the new employee that appears in Episode 1 of Severance?,Helly
Other,Number,"How many months after his wife, Hilde, died did Jurgen Aschoff also pass away?",10
Science and technology,Date,"What were the day, month, and year when Google released a version of Chrome on Windows that added hardware-accelerated H.264 video decoding?",06-Nov-12
Politics,Person,Who was the first president of the Supreme Court of Argentina?,Francisco de las Carreras
Geography,Number,"As of 2022, in total, how many designated UNESCO areas have Great Apes?",34
Politics,Date,"On what month, day, and year did Ketanji Brown Jackson's service as a circuit judge end?",June 29 2022
Science and technology,Person,"What was the name of Claudio Bunster Weitzman, the Chilean theoretical physicist, until 2005?",Claudio Teitelboim Weitzman
TV shows,Date,"When (month-day-year) was ""I Could Have Been Your Cellmate"" released?","April 3rd, 2007"
Geography,Date,"In which year was the municipality of Remedios, Antioquia, Colombia, founded?",1560
Art,Other,"Which art dealership did Peter Arrell Browne Widener buy ""Portrait of Elena Grimaldi Cattaneo"" from in 1906?",Knoedler
Music,Person,"What is the name of the man buried at Paddington Cemetery in London in 1767, with an epitaph that reads, ""Tho' sweet as Orpheus thou couldst bring / Soft pleadings from the trembling string""?",Matthew Dubourg
Other,Other,"What was the first line after the salutation in the letter sent to Sri Biswambhar Goswami by A.C. Bhaktivedanta, also known as A.C. Bhaktivedanta Swami Prabhupada, on December 25, 1956?",Kindly accept my respectful obeisances.
Art,Other,What is the Edo name of the crown traditionally worn by the Iyoba (Queen Mother) of the Oba of Benin?,ukpe-okhue
Art,Date,"Charles Saatchi had his first ""Young British Art"" show during what year?",1992
TV shows,Person,What is the secret identity of Mark's neighbor in Season 1 of Severance?,Harmony Cobel
Science and technology,Date,"In which month and year did Apple add the ability for users to speak ""Hey Siri"" to enable the assistant without the requirement of physically handling the device?",September 2014.
Art,Date,"What day, month, and year did Knud Nellemose, the Danish sculptor, pass away?",14-Jan-97
TV shows,Person,Who is Gabby Arteta married to in Season 1 of Severance?,Senator Angelo Arteta
Science and technology,Date,In what year was the beetle species Conaliamorpha lutea described by Ermisch?,1968
Sports,Other,"What two other events did Phanas of Pellene manage to win in the Olympics of 521 BCE, besides the race in armor, also known as the hoplitodromos?","The stadion, and the double race (Diaulos)."
Video games,Other,What is the name of the 28th song on the official CD release of Kirby Star Allies: The Original Soundtrack?,Reef Resort
Other,Other,What school was Aleister Crowley first sent to at the age of 8?,H. T. Habershon's evangelical Christian boarding school
TV shows,Person,"Who directed ""Range of Emotions,"" Season 8, Episode 1 of ""Girlfriends""?",Debbie Allen
Science and technology,Person,Name the mission director of the Rohini Technology Payload (RTP) satellite launch in 1979.,Dr. Abdul Kalam
Other,Date,In which year was Ruth Wilson Gilmore elected as a member of the American Academy of Arts and Sciences?,2021
History,Date,"What were the month, day, and year Sir Nathaniel Brent, English college head, died?","November 6, 1652"
Sports,Place,What country won more equestrian medals than any other team at the 2004 Olympic Games in Athens?,United States
Politics,Person,What is the full name of the Indian politician who is quoted comparing Kashmir's Martyrs' Day with the Jallianwala Bagh Massacre?,Sheikh Mohammad Abdullah
Science and technology,Date,"On which day, month, and year was the RS-1 satellite launched from the Satish Dhawan Space Centre in India?",18-Jul-80
Sports,Date,"What is the month, day, and year that Olympic athlete Merwin ""Marvin"" Graham died?","January 24, 1989"
Video games,Other,What was the name of Project Zero Dawn's Extinction Failsafe Protocol in the video game Horizon Zero Dawn (2017)?,HADES
Music,Number,How many CDs is the Sen no Kiseki IV - The End of Saga - original soundtrack?,3
Politics,Other,What was Jitendra Kumar Maheshwari's position just before being appointed as a judge of the Supreme Court of India?,Chief Justice of the Sikkim High Court
Music,Place,"What city did Ciara perform in on May 29, 2015, for her Jackie Tour?","Riverside, California"
Geography,Place,What is the name of the village in Jammu and Kashmir named after the Sufi saint Baba Payam Uddin Reshi?,Babareshi
Science and technology,Date,"What was the year when the Express Tribune (newspaper) reported, ""The Aga Khan University Hospital has become the first medical center to introduce the new advanced brain surgery technology, Neuro-Robotic Exoscope, in Pakistan""?",2016
Other,Person,Who was awarded the Calogero Vinti Prize in 2019?,Filippo Ambrogio Santambrogio
Geography,Number,"As of 2022, what is the population of Mersin Province?","19,16,432"
Sports,Person,Who won the silver medal in men's individual foil fencing in the Tokyo 2020 Olympics?,Daniele Garozzo
Art,Person,Who was Horacio Coppola's second wife?,Raquel Palomeque
TV shows,Other,"What was Darnell's occupation before he was a mechanic in the series ""Girlfriends""?",airport baggage handler
Music,Other,"Which famous video game character is featured in the music video for Die Ärzte's song ""Men Are Pigs""?",Lara Croft
Art,Other,With what award was Sheila Levrant de Bretteville honored in 2009 by the New York Art Directors Club?,Grandmaster award 
,,The first brief description of Agrilus planipennis was published by Léon Fairmaire in which French journal in 1888?,Revue d'Entomologie 
Science and technology,Person,Who was awarded the 2020 Euler Medal by the Institute of Combinatorics and Its Applications?,Marston Conder
Science and technology,Date,"What's the month, day, and year of the online publication of the paper ""Articulatory constraints on stop insertion and elision in consonant clusters""?","5th September, 2011"
Art,Other,What is the name of the performance Marina Abramović and Uwe Laysiepen performed in 1978?,AAA-AAA
Politics,Date,"In what year did Washington, D.C.'s Gay Pride Day first name a person of color as the Grand Marshal of its parade?",1983
Other,Date,"On what day, month, and year did the Canadian Centre for Inquiry's Think Again! TV document one of Popoff's performances in Toronto?","May 26, 2011"
,,"Who did Wangechi Mutu collaborate with on ""Exhuming Gluttony: A Lover's Requiem""?",David Adjaye
Politics,Number,"In 2006, how many dollars were Hillsong stripped of from the government grant on the grounds they had faked the Indigenous endorsement that was required to obtain it?","4,14,000"
Music,Date,In what year was Yo-Yo Ma inducted into the Classical Music Hall of Fame?,2007
History,Date,"What day, month, and year was Lauren Anne Dickason found guilty of murdering her three children in Timaru, New Zealand?","August 16, 2023"
Geography,Number,"According to the 2011 Indian census, what was the population of Handwara, a sub-district of Kupwara in J&K?","13,600"
Other,Number,How many years was Tomb Raider: The Ride at Kings Island in operation before being rethemed?,5
Science and technology,Place,Which ward in Tokyo was the AT-1 phono cartridge created in?,Shinjuku
TV shows,Date,In what year did Welsh broadcaster Louise Elliott join Jamie Owen as host of a weekday morning show on BBC Radio Wales?,2007
,,"What were the day, month, and year when the first unassisted off-Earth Twitter message was posted from the International Space Station by a NASA astronaut?",22-Jan-10
Art,Person,"The drawing of William Buell Sr.'s (1751-1832) house he built, displayed on the historic plaque installed in 2006 at the intersection of Water Street West and Home Street in Brockville, Ontario, was drawn in 1887 by which Brockville artist?",Fred Gordon
Science and technology,Number,What is the height of the Space Shuttle Atlantis in meters?,17.2 meters
TV shows,Other,In which episode from Season 4 of Regular Show do Mordecai and Rigby have mullets again?,"Episode 13, ""Sandwich of Death"""
